시군구코드,접수년도,처리구분,접수번호,물건번호,상세물건번호,변경구분,공개반영일,읍면동코드,시군구명,읍면동리명,용도지역코드,용도지역명,건물구분,계약일,전용면적,대지권면적,층수,지분거래구분,거래금액,건축년도,건물주용도코드,건물주용도명,해제여부,해제사유,해제사유발생일,중개구분,중개업소주소,매도자거래주체정보,매수자거래주체정보,신고번호,물건번호
41271,2024,4,702,2,1,U,20240511041315,4127110200,경기도안산시상록구,이동,UQA112,제2종전용주거,집합,20240226,48,,1,,42500,2001,04001,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,67244339,2
41192,2024,4,1285,1,1,U,20240511041315,4119210800,경기도부천시원미구,중동,UQA123,제3종일반주거,집합,20240216,92.25,,3,,24400,1994,04014,제2종근린생활,2,추가입력완료,,중개거래,,개인,법인,67072275,1
41192,2024,4,1285,2,1,U,20240511041315,4119210800,경기도부천시원미구,중동,UQA123,제3종일반주거,집합,20240216,145.95,,3,,38240,1994,04014,제2종근린생활,2,추가입력완료,,중개거래,,개인,법인,67072275,2
41550,2024,4,1660,1,1,U,20240511041315,4155036021,경기도안성시,양성면 동항리,UQA420,생산녹지,일반,20240222,396,497,,,81295,2019,03002,제1종근린생활,2,추가입력완료,,중개거래,,개인,법인,66310245,1
41210,2024,4,1130,1,1,U,20240511041315,4121010300,경기도광명시,하안동,UQA220,일반상업,집합,20240224,63.73,,6,,18750,,03999,제1종근린생활,2,추가입력완료,,중개거래,,개인,개인,65522213,1
41133,2024,4,427,1,1,U,20240511041315,4113310500,경기도성남시중원구,상대원동,UQA123,제3종일반주거,집합,20240216,11.2,,,,32000,,04499,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,65464212,1
41271,2024,4,667,1,1,U,20240511041315,4127110900,경기도안산시상록구,월피동,UQA220,일반상업,집합,20240220,93.12,,,,12500,1993,04999,제2종근린생활,C,계약해제,20240311,중개거래,,개인,법인,65255209,1
41271,2024,4,667,2,1,U,20240511041315,4127110900,경기도안산시상록구,월피동,UQA220,일반상업,집합,20240220,61.24,,,,4000,1993,04999,제2종근린생활,C,계약해제,20240311,중개거래,,개인,법인,65255209,2
41450,2024,4,884,1,1,U,20240511041315,4145010800,경기도하남시,덕풍동,UQA220,일반상업,집합,20240207,166.21,,7,,55000,2009,10003,교육연구,2,추가입력완료,,중개거래,,개인,기타,64789210,1
41192,2024,4,1148,1,1,U,20240511041315,4119210700,경기도부천시원미구,역곡동,UQA122,제2종일반주거,집합,20240219,24.48,,,,15500,2010,03001,제1종근린생활,2,추가입력완료,,중개거래,,개인,개인,64762215,1
41450,2024,4,882,1,1,U,20240511041315,4145010800,경기도하남시,덕풍동,UQA220,일반상업,집합,20240207,182.4,,7,,55000,2009,10003,교육연구,2,추가입력완료,,중개거래,,개인,기타,64755217,1
41465,2024,4,1016,1,1,U,20240511041315,4146510600,경기도용인시수지구,성복동,UQA121,제1종일반주거,일반,20240220,1397.59,495,,,418000,2014,04001,제2종근린생활,C,계약해제,20240308,중개거래,,법인,법인,64654209,1
41390,2024,4,1493,1,1,U,20240511041315,4139012700,경기도시흥시,거모동,UQA220,일반상업,집합,20240131,53.5,,1,,10000,2001,03999,제1종근린생활,2,추가입력완료,,중개거래,,개인,개인,46495042,1
41135,2024,4,1707,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240227,9.67,,,전체거래,8000,2003,07999,판매,2,추가입력완료,,직거래,,개인,법인,85964456,1
41370,2024,4,2384,1,1,,,4137010300,경기도 오산시,원동,UQA220,일반상업,일반,20240227,476.53,210.7,,전체거래,117000,1991,04402,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,85928417,1
41410,2024,4,1800,1,1,C,20240621040307,4141010400,경기도군포시,산본동,UQA210,중심상업,집합,20240612,63.18,,4,,37500,1995,03027,제1종근린생활,2,추가입력완료,,중개거래,,개인,개인,134477633,1
41570,2024,4,5429,1,1,C,20240621040307,4157025627,경기도김포시,양촌읍 유현리,UQA430,자연녹지,일반,20240610,99,550,,,49630,2021,04005,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,134304605,1
41390,2024,4,693,1,1,U,20240511041315,4139010200,경기도시흥시,신천동,UQA121,제1종일반주거,일반,20240116,2984.18,960,,,630000,2004,03999,제1종근린생활,2,추가입력완료,,중개거래,,개인,법인,46494297,1
41390,2024,4,223,1,1,U,20240511041315,4139013200,경기도시흥시,정왕동,UQA210,중심상업,집합,20240105,152.9,,,,17840,1998,03001,제1종근린생활,C,계약해제,20240220,중개거래,,개인,개인,46493637,1
41390,2024,4,223,2,1,U,20240511041315,4139013200,경기도시흥시,정왕동,UQA210,중심상업,집합,20240105,138.62,,,,16170,,03001,제1종근린생활,C,계약해제,20240220,중개거래,,개인,개인,46493637,2
41390,2024,4,223,3,1,U,20240511041315,4139012700,경기도시흥시,거모동,UQA123,제3종일반주거,집합,20240105,99.68,,,,11650,,03001,제1종근린생활,C,계약해제,20240220,중개거래,,개인,개인,46493637,3
41390,2024,4,223,4,1,U,20240511041315,4139013200,경기도시흥시,정왕동,UQA210,중심상업,집합,20240105,54.54,,,,6340,,04402,제2종근린생활,C,계약해제,20240220,중개거래,,개인,개인,46493637,4
41570,2024,4,2768,1,1,,,4157010900,경기도 김포시,구래동,UQA123,제3종일반주거,집합,20240322,28.6,,,전체거래,39500,2018,04999,제2종근린생활,C,계약해제,20240327,중개거래,경기 김포시,개인,개인,85818420,1
41285,2024,4,2641,1,1,,,4128510400,경기도 고양시일산동구,장항동,UQA210,중심상업,집합,20240319,45.23,,2,전체거래,11500,1999,03027,제1종근린생활,2,추가입력완료,,중개거래,경기 고양시일산동구,개인,개인,85771424,1
41360,2024,4,3186,1,1,,,4136011200,경기도 남양주시,다산동,UQA220,일반상업,집합,20240304,61.41,,9,전체거래,16813,2019,13006,기타,2,추가입력완료,,직거래,,법인,개인,85720419,1
41135,2024,4,2805,1,1,C,20240511041315,4113511100,경기도성남시분당구,금곡동,UQA230,근린상업,집합,20240426,10.28,,,,10600,1994,04107,제2종근린생활,2,추가입력완료,,중개거래,,법인,법인,113790556,1
41111,2024,4,1901,1,1,C,20240614040325,4111113000,경기도수원시장안구,정자동,UQA122,제2종일반주거,집합,20240603,31.08,,1,,8789,,03001,제1종근린생활,2,추가입력완료,,중개거래,,법인,법인,131494309,1
41111,2024,4,1898,1,1,C,20240614040325,4111113000,경기도수원시장안구,정자동,UQA122,제2종일반주거,집합,20240603,29.6,,1,,8371,,03001,제1종근린생활,2,추가입력완료,,중개거래,,법인,법인,131494289,1
41590,2024,4,17270,1,1,C,20240614040325,4159012700,경기도화성시,반송동,UQA230,근린상업,집합,20240612,15,,3,,4500,2013,14204,업무,2,추가입력완료,,중개거래,,개인,개인,131477327,1
41590,2024,4,12653,4,1,C,20240416063304,4159040026,경기도화성시,양감면 요당리,UQB100,계획관리,일반,20240331,889.59,1735,,,138103,2011,04005,제2종근린생활,2,추가입력완료,,직거래,,개인,법인,98207022,4
41117,2024,4,3536,1,1,C,20240614040325,4111710300,경기도수원시영통구,이의동,UQA130,준주거,집합,20240530,57.94,,13,,34000,2017,11201,기타,2,추가입력완료,,중개거래,,개인,개인,131477325,1
41430,2024,4,708,1,1,,,4143010500,경기도 의왕시,오전동,UQA500,용도미지정,일반,20240228,97.65,175,,전체거래,59981,2007,04001,제2종근린생활,2,추가입력완료,,직거래,,법인,개인,78728553,1
41113,2024,4,1845,1,1,,,4111312600,경기도 수원시권선구,세류동,UQA500,용도미지정,일반,20240216,299.04,148.8,,전체거래,44500,1992,03011,제1종근린생활,2,추가입력완료,,중개거래,경기 수원시팔달구,개인,개인,78627524,1
41192,2024,4,1431,1,1,,,4119210800,경기도 부천시원미구,중동,UQA210,중심상업,집합,20240313,31.59,,10,전체거래,8700,2003,14299,업무,2,추가입력완료,,직거래,,개인,개인,78599523,1
41220,2024,4,12715,1,1,C,20240614040325,4122010900,경기도평택시,이충동,UQA122,제2종일반주거,집합,20240608,44.88,,1,,15000,,04010,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,130979220,1
41131,2024,4,630,1,1,,,4113110300,경기도 성남시수정구,수진동,UQA123,제3종일반주거,집합,20240227,90.09,,1,전체거래,34700,2000,04402,제2종근린생활,2,추가입력완료,,중개거래,경기 성남시수정구,개인,개인,78584521,1
41590,2024,4,8146,1,1,U,20240511041315,4159041025,경기도화성시,정남면 오일리,UQA430,자연녹지,일반,20240115,198,984,,,106000,2004,04005,제2종근린생활,2,추가입력완료,,중개거래,,개인,법인,76420363,1
41465,2024,4,1075,1,1,U,20240511041315,4146510600,경기도용인시수지구,성복동,UQA121,제1종일반주거,일반,20240220,1397.59,495,,,418000,2014,04001,제2종근린생활,2,추가입력완료,,중개거래,,법인,법인,75196280,1
41461,2024,4,1821,1,1,U,20240511041315,4146125924,경기도용인시처인구,남사읍 봉명리,UQA430,자연녹지,일반,20240305,171.36,430,,,51000,1995,04402,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,74650269,1
41461,2024,4,1817,1,1,U,20240511041315,4146110200,경기도용인시처인구,역북동,UQA130,준주거,집합,20240229,56.8,,,,23000,2018,04001,제2종근린생활,2,추가입력완료,,중개거래,,개인,법인,74443273,1
41461,2024,4,1817,2,1,U,20240511041315,4146110200,경기도용인시처인구,역북동,UQA130,준주거,집합,20240229,113.6,,2,,46000,2018,04001,제2종근린생활,2,추가입력완료,,중개거래,,개인,법인,74443273,2
41273,2024,4,4021,1,1,C,20240511041315,4127310100,경기도안산시단원구,고잔동,UQA210,중심상업,집합,20240425,112.32,,6,,23500,2002,04010,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,113883562,1
41360,2024,4,6059,1,1,C,20240621040307,4136025629,경기도남양주시,화도읍 녹촌리,UQB100,계획관리,일반,20240520,200.2,1894,,,185000,2014,04005,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,132312377,1
41800,2024,4,975,1,1,C,20240614040325,4180025328,경기도연천군,전곡읍 늘목리,UQB100,계획관리,일반,20240613,206,910,,,13530,1997,04999,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,131971352,1
41192,2024,4,3279,1,1,U,20240621040307,4119210900,경기도부천시원미구,상동,UQA220,일반상업,집합,20240613,15.74,,9,,3700,2011,14204,업무,2,추가입력완료,,중개거래,,개인,개인,132024355,1
